,index,team_id,fixture_id,starting_datetime,fixture_order
1884290,897068,17696,621489,2008-01-02 23:00,1.5
897064,897064,17696,614997,2008-01-02 23:00,1.5
1884718,897496,26480,925057,2008-01-06 11:00,1.5
1884712,897490,26480,901357,2008-01-06 11:00,1.5
1885471,898249,2784,686714,2008-01-12 19:00,1.5
1885453,898231,2784,182900,2008-01-12 19:00,1.5
899690,899690,7746,895145,2008-01-20 16:00,4.5
1886942,899720,7746,937107,2008-01-20 16:00,4.5
900449,900449,1278,257745,2008-01-26 17:00,5.5
1887709,900487,1278,799172,2008-01-26 17:00,5.5
900697,900697,26480,925093,2008-01-27 11:00,7.5
1887907,900685,26480,901385,2008-01-27 11:00,7.5
901039,901039,7681,1007740,2008-01-27 18:00,5.5
1888270,901048,7681,1018568,2008-01-27 18:00,5.5
902004,902004,13342,937154,2008-02-03 11:00,9.5
1889204,901982,13342,402887,2008-02-03 11:00,9.5
1889409,902187,13344,402891,2008-02-03 16:00,10.5
1889453,902231,13344,941029,2008-02-03 16:00,10.5
1890683,903461,7746,895172,2008-02-10 16:00,10.5
903492,903492,7746,937188,2008-02-10 16:00,10.5
1891646,904424,1278,799192,2008-02-16 17:00,9.5
904383,904383,1278,257765,2008-02-16 17:00,9.5
1891767,904545,12986,1037887,2008-02-16 20:00,7.5
1891761,904539,12986,673676,2008-02-16 20:00,7.5
1894172,906950,828,528681,2008-02-27 21:00,2.5
906950,906950,828,528681,2008-02-27 21:00,2.5
1894209,906987,9940,1100884,2008-02-27 23:30,10.5
906993,906993,9940,1100902,2008-02-27 23:30,10.5
1894444,907222,8039,596696,2008-02-29 23:00,6.5
907221,907221,8039,596695,2008-02-29 23:00,6.5
907737,907737,828,528683,2008-03-01 19:00,4.5
1894959,907737,828,528683,2008-03-01 19:00,4.5
1895452,908230,7746,895204,2008-03-02 16:00,16.5
908280,908280,7746,937272,2008-03-02 16:00,16.5
908487,908487,886,517377,2008-03-02 22:00,22.5
908485,908485,886,504941,2008-03-02 22:00,22.5
908717,908717,17447,595005,2008-03-05 23:00,6.5
908716,908716,17447,595004,2008-03-05 23:00,6.5
909663,909663,886,1018662,2008-03-08 22:00,24.5
1896881,909659,886,517380,2008-03-08 22:00,24.5
1896976,909754,11246,660333,2008-03-09 10:00,16.5
909755,909755,11246,660334,2008-03-09 10:00,16.5
909975,909975,6260,1025506,2008-03-09 14:00,8.5
909976,909976,6260,1025508,2008-03-09 14:00,8.5
1897354,910132,7746,937325,2008-03-09 16:00,18.5
910095,910095,7746,895213,2008-03-09 16:00,18.5
1898868,911646,2784,686851,2008-03-15 19:00,19.5
1898845,911623,2784,182982,2008-03-15 19:00,19.5
1898934,911712,828,528701,2008-03-15 21:10,7.5
911712,911712,828,528701,2008-03-15 21:10,7.5
911780,911780,30557,1025526,2008-03-16 0:00,8.5
1899003,911781,30557,1025534,2008-03-16 0:00,8.5
1899240,912018,838,396207,2008-03-16 14:00,5.5
1899225,912003,838,334140,2008-03-16 14:00,5.5
1899444,912222,13342,937349,2008-03-16 16:00,21.5
1899408,912186,7746,895226,2008-03-16 16:00,20.5
1899388,912166,3169,402954,2008-03-16 16:00,21.5
1899472,912250,3169,974175,2008-03-16 16:00,21.5
